Kg,Q,k,method
0.7,0.737681853862754,39,label_propagation_fallback
0.8455376158406002,0.756260591877653,35,label_propagation_fallback
1.0213340854305806,0.730526469643737,36,label_propagation_fallback
1.2336805536738755,0.7395970797350595,35,label_propagation_fallback
1.4901761629461718,0.7071187124378001,34,label_propagation_fallback
1.8,0.7011152262380457,23,label_propagation_fallback
