sample_id,richness,shannon,simpson,richness_z,shannon_z,simpson_z
MI_001_H,259,3.9565859695561443,0.9591404770193496,0.2658612198295419,1.162713213781249,0.7067852784489651
MI_002_H,398,3.4450883433329507,0.9074505401296874,2.1180065675203115,0.44827100357905797,0.33055610070524644
MI_003_H,127,2.709493441539755,0.8868561667589502,-1.4930106211429874,-0.5791825377620572,0.18065837156003606
MI_004_H,179,3.667249581366527,0.9350432123355134,-0.8001217140932032,0.7585781443842525,0.5313914857030961
MI_005_H,143,3.5096980865436964,0.9448196780788783,-1.2798140343584385,0.5385156603938273,0.6025502428847377
MI_006_H,371,3.8868779273804934,0.9589175358381085,1.758237327321385,1.0653474291371028,0.7051625839294767
MI_007_H,254,3.3157857785839435,0.9280087647390511,0.19923728645937036,0.26766564901230455,0.480190718312963
MI_008_H1,223,3.3849934110703854,0.9247703243971218,-0.21383110043569337,0.36433247869354163,0.456619481427591
MI_009_H,157,2.491765671278348,0.8350623769312756,-1.0932670209219582,-0.8832971639755485,-0.1963267077735429
MI_010_H,236,3.6225911761637244,0.9521639996293234,-0.04060887367324729,0.6962008271075677,0.6560064516610739
MI_011_H,281,2.8780739904026422,0.8450752787441994,0.5590065266582969,-0.3437150521824766,-0.12344703249078338
MI_012_H,147,2.2352505244408,0.766327962625198,-1.226514887662301,-1.241588657545431,-0.6966154241686209
MI_013_H,315,4.137880653244113,0.9692920505674365,1.0120492735754636,1.415939363564828,0.7806742866122829
MI_014_H,215,3.4889453870070333,0.924391444965778,-0.32042939382796787,0.509529006762387,0.453861778371718
MI_015_H,290,3.2691151879350806,0.9224017356975198,0.6789296067246057,0.20247778063290017,0.4393795265642964
MI_016_H,206,2.8701360835595597,0.8519908154150153,-0.4403524738942767,-0.3548024461772951,-0.07311176741062891
MI_017_H,227,3.234989413774246,0.9148514249133748,-0.16053195373955612,0.15481207845486356,0.38442400932131565
MI_018_H,288,3.7257275364001408,0.9543452010285971,0.6522800333765371,0.8402581313488234,0.6718824936592275
MI_019_H,291,3.485315880362726,0.9375334215128094,0.6922543933986399,0.5044594372942957,0.5495166645591633
MI_020_H,238,3.320502380430892,0.875764218180599,-0.013959300325178661,0.27425363549634585,0.09992477147620085
MI_021_H,420,4.12782364372192,0.9714208686964292,2.4111518743490663,1.4018920801705448,0.796169052952325
MI_022_H,147,0.8087958755057789,0.35426942015846874,-1.226514887662301,-3.2340112219731902,-3.6958151899848937
MI_023_H,166,2.093411785063857,0.7315921456614255,-0.9733439408556492,-1.439704107661982,-0.9494427371992569
